@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,'Ivan Masson','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
?,'Franco Occhi','hola , lo estar por crear justo ',0,1,0,0,2,1,0,1,1,1,0,0
?,'','hola . ',0,0,0,0,0,0,0,1,0,1,0,0
?,'','también estar por crear el grupo ',0,1,1,1,2,0,0,0,1,0,0,0
?,'','hola ! como andar ? ',0,0,0,0,1,0,1,1,0,2,0,0
?,'','hola chico , en uno comentario en el dock dejar uno lino de trabajo colorativo y cooperativo ',2,0,3,5,1,0,1,1,3,1,0,0
?,'','con ese ingá poder realizar el inciso 1 y 2 ',0,0,2,2,2,0,1,0,1,0,2,0
?,'Franco Occhi','ir a hacer lo todo junto porque ser corto y sino haber muchos q no ir a aportar ',2,1,1,0,7,1,4,0,2,0,0,0
?,'','tisis no escribir nada solo subir inflo ',0,2,0,2,2,1,0,0,0,0,0,0
?,'Franco Occhi','joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,'','por ese ir a decir que estar bueno coordinar alguno día así nos juntar todo en el t y aportar entre todo ',1,0,3,3,6,3,2,0,4,0,0,0
?,'Franco Occhi','si creer q haber tiempo hasta el [S:??/??/??:??.??:??] y yo ese din me ir arique hoy o mañana estarza bueno cocinar lo ',2,3,2,2,4,4,3,0,1,0,0,1
?,'','si para mi estado bueno tener lo listo antecede el fine si ser posible mañana a el mañana jajay ',3,0,3,4,2,1,2,1,3,0,0,0
?,'','si para mi también ',0,1,1,0,0,0,1,0,1,0,0,0
?,'','no tener problema ',0,1,0,1,1,0,0,0,0,0,0,0
?,'','si querer poner mas o menos en que horario poder y ver cuando poder todo ',0,1,1,1,5,1,5,0,1,0,0,0
?,'Ivan Masson','yo poder a el mañana pero templa tipo 8 . si no , después de el 17 . ',0,2,2,3,1,1,2,0,2,3,2,0
?,'','yo a el mañana no tener drama ser corto calcular que en TM_h:2 hacer todo ! ',1,1,1,2,4,2,1,0,2,1,1,0
?,'Franco Occhi','a le mañana a el 8 ',0,1,1,0,1,1,0,0,1,0,1,0
?,'Ivan Masson','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,'','joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,103440089036463137197,'como andar pides ? ',0,0,0,1,1,0,1,0,0,1,0,0
?,103440089036463137197,'joya mañana de 8 ',0,1,0,1,0,0,0,0,1,0,1,0
?,103440089036463137197,'bueno ',1,0,0,0,0,0,0,0,0,0,0,0
?,103440089036463137197,'como andaba ? ',0,0,0,1,0,0,1,0,0,1,0,0
?,'','hola hermano todo bien   ',0,0,1,2,0,0,0,1,0,1,0,0
?,'','vos ? ',0,0,0,0,0,1,0,0,0,1,0,0
?,103440089036463137197,'bien bien ! ',0,2,0,0,0,0,0,0,0,1,0,0
?,103440089036463137197,'? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,103440089036463137197,'  vos che ? ',0,0,0,0,0,1,0,1,0,2,0,0
?,'','joya jajay   ',0,0,0,1,0,0,0,1,0,1,0,0
?,103440089036463137197,'perfecto jajay che cuanto ser ? ',1,0,0,0,1,1,0,2,0,1,0,0
?,'','5 creer que ser ',0,0,0,0,2,0,1,0,0,0,1,0
?,'Franco Occhi','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
?,103440089036463137197,'ah joya . porque en el chata solo aparecer 4.no haber aceptar el invitación el que faltar ! ! ',1,0,3,3,4,1,1,1,1,3,1,0
?,103440089036463137197,'hi franco ',0,0,0,1,0,0,0,1,0,0,0,0
?,103440089036463137197,'? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,'Ivan Masson','buenas ',0,1,0,0,0,0,0,0,0,0,0,0
?,'','aparecer 4 porque vos no aparecer jajay   ',0,1,0,0,2,1,1,1,0,1,1,0
?,'','bueno a todo   ',1,0,1,0,0,0,0,0,1,1,0,0
?,103440089036463137197,'ah_h_h_h que pelotazo jajajá no decir nada . jajajá ser el hora jajajá ',0,1,1,2,2,1,1,4,0,1,0,0
?,103440089036463137197,'che ya estar todo creer para arrancar . cuando querer largar . ',0,1,0,0,5,1,1,1,1,2,0,0
?,'','arrancar nomás con el definición si querer ',1,0,1,1,2,0,1,0,1,0,0,0
?,103440089036463137197,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
?,103440089036463137197,'escribir en el dock ',0,0,1,1,1,0,0,0,1,0,0,0
?,103440089036463137197,'nuestro definición   ',0,0,1,1,0,0,0,0,0,1,0,0
?,103440089036463137197,'y ir ver con cual nos quedar   ',0,0,0,0,3,2,1,0,1,1,0,0
?,103440089036463137197,'okay ? ',0,0,0,1,0,0,0,0,0,1,0,0
?,'Franco Occhi','ah pegar algo ',0,1,0,0,1,1,0,0,0,0,0,0
?,'Franco Occhi','editar ',0,0,0,0,1,0,0,0,0,0,0,0
?,'','gente perdonar . . ',0,0,0,1,1,0,0,0,0,2,0,0
?,'','eje me dormir ',0,0,0,0,1,1,0,1,0,0,0,0
?,'','ahí arrancar ! ',0,1,0,0,1,0,0,0,0,1,0,0
?,'','no haber drama jajay ',0,1,0,1,1,0,0,1,0,0,0,0
?,'Franco Occhi','ser tan pavo el pregunta que mas ser y mas el complicar me parecer jajay ',0,1,2,2,4,2,3,1,0,0,0,0
?,'','chico el trabajo colorativo me parecer que ser homogéneo no heterogéneo como esta poner jajay   ',3,1,1,2,4,1,2,1,0,1,0,0
?,'Ivan Masson','heterogéneas el habilidad de el miembro ',0,0,2,3,0,0,0,0,1,0,0,0
?,'Ivan Masson','no el trabajo en si ',0,1,1,1,0,0,1,0,1,0,0,0
?,'','a siso no habiz ver que habías puesto en el habilidades ',2,1,1,4,1,0,1,0,1,0,0,0
?,'','habilidad ',0,0,0,1,0,0,0,0,0,0,0,0
?,'','seguir con duda en todo el definición que encontrar todo decir que el persona cuenta con conocimiento similar sobre el tema ',1,0,5,6,3,1,1,0,4,0,0,0
?,'Ivan Masson','yo lo ver por_ejemplo por el lado de que no podar armar uno grupo con todo persona con perfil de liderar . . por no funcionario bien ',0,4,3,6,4,2,1,0,5,2,0,0
?,'Ivan Masson','( nadie aburara jajay ) ',1,0,0,0,0,1,0,1,0,2,0,0
?,'Ivan Masson','entonces a ese se referir con habilidad ',0,1,0,1,1,2,0,0,2,0,0,0
?,'Franco Occhi','si ir por ah me parecer , no nos enroscar mucho ser uno definición nomás ',1,3,1,1,4,2,1,0,1,1,0,0
?,'','ahora si me cerro , ah agregar algo como para que se diferenciar conocimiento y habilidad ',0,2,0,3,2,3,4,0,1,1,0,0
?,103440089036463137197,'perfecto ',0,1,0,0,0,0,0,0,0,0,0,0
?,103440089036463137197,'perfecto ',1,0,0,0,0,0,0,0,0,0,0,0
?,103440089036463137197,'el aprendizaje colorativo ser mas tirar a el que ser el maquinar meca ',1,0,3,1,5,1,1,0,1,0,0,0
?,'','a mi me parecer q este mas ligar a el enseñanza ',0,0,3,1,2,1,2,0,2,0,0,0
?,'','xi hablar de profesor y alumno ',0,0,0,2,1,0,2,0,1,0,0,0
?,'','si jajay ser aprendizaje en escuela creer   ',0,0,0,2,2,0,1,1,1,1,0,0
?,'Franco Occhi','che no hacer uno parrafeo gigante de ese definición ',1,1,2,2,1,0,0,1,1,0,0,0
?,'Franco Occhi','decir con nuestro palabra , no mucho enroscar ',0,1,1,1,2,1,0,0,1,1,0,0
?,103440089036463137197,'el diferencia : cooperativo trabajar todo junto aportar conocimiento , en colorativo trabajar online distante uno de el otro . ',4,1,3,2,3,2,0,0,2,3,0,0
?,103440089036463137197,'si no entendió mal ',0,2,0,0,1,0,1,0,0,0,0,0
?,'','en el cooperativo también se trabajar on-line ',0,1,1,1,2,1,0,0,1,0,0,0
?,103440089036463137197,'ah ',0,0,0,0,0,0,0,1,0,0,0,0
?,103440089036463137197,'okay ',0,0,0,1,0,0,0,0,0,0,0,0
?,103440089036463137197,'? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,'','el diferencia ser que no todo aportar en todo en el cooperativo ',0,1,2,2,2,2,1,0,2,0,0,0
?,'','el persona ser distingas existir uno liderá ',0,0,2,3,2,0,0,0,0,0,0,0
?,'','el aprendizaje de cada uno ser por su cuenta ',0,0,3,2,1,1,0,0,2,0,0,0
?,'','claro , me parecer q ser ese , en el colorativo , cada uno aportar en el q ser fuerte ',2,0,3,0,4,5,0,1,2,3,0,0
?,'','claro por que tener distinto conocimiento ',0,1,1,1,1,0,1,0,1,0,0,0
?,103440089036463137197,'claro , tener razone . ',0,1,0,1,1,0,0,0,0,2,0,0
?,'','yo encontró uno filmina que tener todo el diferencia para mi estarza bueno hacer uno cuadro y ir comparar ',2,0,5,3,5,2,1,0,1,0,0,0
?,'','no se que pensar ',0,1,0,0,1,2,0,0,0,0,0,0
?,'Franco Occhi','o el dl cuadro lo poder pasar a palabra en uno parrafeo chico ',0,0,2,5,2,1,1,0,2,0,0,0
?,'Franco Occhi','fruyendo ',0,0,0,0,1,0,0,0,0,0,0,0
?,'','si también ese ser bueno   ',1,0,0,0,2,1,1,0,0,1,0,0
?,103440089036463137197,'en uno parrafeo serio mejor   ',2,0,1,1,0,0,0,0,1,1,0,0
?,'','si , creer q en uno parrafeo mejor ',1,0,1,1,1,0,2,0,1,1,0,0
?,'','bueno no haber drama ah le pasar el lino de el filmina   ',1,1,2,3,2,1,0,1,1,1,0,0
?,103440089036463137197,'joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,'','.url. ? next_slideshow=1 ',0,0,0,0,0,0,0,0,0,2,1,0
?,'','ah esta   ',0,1,0,0,1,0,0,0,0,1,0,0
?,103440089036463137197,'poder hacer hincapié en el titular en que se diferenciar y idear uno oración que explicar reverente ',0,1,2,2,6,2,2,0,2,0,0,0
?,103440089036463137197,'por_ejemplo : liderazgo   ',0,1,0,1,0,0,0,0,0,2,0,0
?,103440089036463137197,'en el colorativo ser compartir y en el cooperativo haber uno liderá ',2,0,3,1,3,0,1,0,2,0,0,0
